[30] 1939 {index_type: SCANN, nlist: 151, nprobe: 42, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 739} {dataCoord*segment*maxSize: 1361, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 57336, dataNode*segment*insertBufSize: 26040058, rootCoord*minSegmentSizeToEnableIndex: 2292} 51.924675751708534 0.266168 8
[31] 1948 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2318, dataCoord*segment*sealProportion: 0.07, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 81677, dataNode*segment*insertBufSize: 4825731, rootCoord*minSegmentSizeToEnableIndex: 1043} 51.924675751708534 0.266168 8
[32] 1958 {index_type: IVF_FLAT, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1039, dataCoord*segment*sealProportion: 0.26, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 74285, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 51.924675751708534 0.266168 10
[33] 1965 {index_type: IVF_PQ, nlist: 31, nprobe: 17, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 263, dataCoord*segment*sealProportion: 0.31, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6955, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1430} 51.924675751708534 0.266168 6
[34] 1974 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 279, ef: 570, reorder_k: 500} {dataCoord*segment*maxSize: 819, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5551, dataNode*segment*insertBufSize: 30499692, rootCoord*minSegmentSizeToEnableIndex: 2478} 51.924675751708534 0.266168 9
[35] 1981 {index_type: SCANN, nlist: 57, nprobe: 23, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 693} {dataCoord*segment*maxSize: 639, dataCoord*segment*sealProportion: 0.24, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 21668, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1617} 51.924675751708534 0.266168 6
[36] 1988 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 693, dataCoord*segment*sealProportion: 0.11, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 36157, dataNode*segment*insertBufSize: 173108, rootCoord*minSegmentSizeToEnableIndex: 1109} 51.924675751708534 0.266168 6
[37] 1998 {index_type: IVF_FLAT, nlist: 237, nprobe: 82, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.19, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 45712940, rootCoord*minSegmentSizeToEnableIndex: 4440} 51.924675751708534 0.266168 10
[1] 383 {index_type: FLAT, nlist: 128, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 52.58457542837747 0.9999979999999999 383
[2] 625 {index_type: IVF_FLAT, nlist: 128, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 564.4760124368387 0.8479310000000001 242
[3] 867 {index_type: IVF_SQ8, nlist: 128, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 261.9300556312781 0.845627 242
[4] 1105 {index_type: IVF_PQ, nlist: 128, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 859.7828661044042 0.267084 238
